2017-05-08 22:54:09,611 mongodb.py[line:44] WARNING MongoDB delete all remarks.
2017-05-08 22:54:17,522 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b48'), 'proxy': '113.252.236.96:8080'}
2017-05-08 22:54:17,523 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b49'), 'proxy': '171.13.37.40:808'}
2017-05-08 22:54:17,524 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b4a'), 'proxy': '114.239.3.58:808'}
2017-05-08 22:54:17,529 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b4b'), 'proxy': '103.36.35.106:8080'}
2017-05-08 22:54:17,532 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b4c'), 'proxy': '119.5.0.31:808'}
2017-05-08 22:54:17,534 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b4d'), 'proxy': '210.14.135.24:80'}
2017-05-08 22:54:17,539 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b4e'), 'proxy': '61.160.254.23:23'}
2017-05-08 22:54:17,540 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b4f'), 'proxy': '115.220.151.98:808'}
2017-05-08 22:54:17,541 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b50'), 'proxy': '61.132.238.95:9999'}
2017-05-08 22:54:17,542 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b51'), 'proxy': '120.132.71.212:80'}
2017-05-08 22:54:17,543 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b52'), 'proxy': '101.201.116.23:3128'}
2017-05-08 22:54:17,544 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b53'), 'proxy': '114.239.145.106:808'}
2017-05-08 22:54:17,544 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b54'), 'proxy': '222.74.225.231:3128'}
2017-05-08 22:54:17,545 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b55'), 'proxy': '171.13.37.118:808'}
2017-05-08 22:54:17,546 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b56'), 'proxy': '114.99.2.187:808'}
2017-05-08 22:54:17,547 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b57'), 'proxy': '210.22.85.34:8080'}
